Rank,Breed
1,French Bulldogs
2,Labrador Retrievers
3,Golden Retrievers
4,German Shepherd Dogs
5,Poodles
6,Bulldogs
7,Rottweilers
8,Beagles
9,Dachshunds
10,German Shorthaired Pointers
11,Pembroke Welsh Corgis
12,Australian Shepherds
13,Yorkshire Terriers
14,Cavalier King Charles Spaniels
15,Doberman Pinschers
16,Boxers
17,Miniature Schnauzers
18,Cane Corso
19,Great Danes
20,Shih Tzu
21,Siberian Huskies
22,Bernese Mountain Dogs
23,Pomeranians
24,Boston Terriers
25,Havanese
26,English Springer Spaniels
27,Shetland Sheepdogs
28,Brittanys
29,Cocker Spaniels
30,Border Collies
31,Miniature American Shepherds
32,Belgian Malinois
33,Vizslas
34,Chihuahuas
35,Pugs
36,Basset Hounds
37,Mastiffs
38,Maltese
39,Collies
40,English Cocker Spaniels
41,Rhodesian Ridgebacks
42,Newfoundlands
43,Shiba Inu
44,Weimaraners
45,West Highland White Terriers
46,Portuguese Water Dogs
47,Bichons Frises
48,Australian Cattle Dogs
49,Dalmatians
50,Bloodhounds
51,Papillons
52,Chesapeake Bay Retrievers
53,Samoyeds
54,Whippets
55,Akitas
56,St. Bernards
57,Wirehaired Pointing Griffons
58,Giant Schnauzers
59,German Wirehaired Pointers
60,Scottish Terriers
61,Bullmastiffs
62,Cardigan Welsh Corgis
63,Italian Greyhounds
64,Bull Terriers
65,Airedale Terriers
66,Soft Coated Wheaten Terriers
67,Alaskan Malamutes
68,Chinese Shar-Pei
69,Great Pyrenees
70,Cairn Terriers
71,Irish Setters
72,Miniature Pinschers
73,Russell Terriers
74,Old English Sheepdogs
75,Staffordshire Bull Terriers
76,Lagotti Romagnoli
77,Biewer Terriers
78,Dogues de Bordeaux
79,Anatolian Shepherd Dogs
80,Chinese Cresteds
81,Nova Scotia Duck Tolling   Retrievers
82,Boykin Spaniels
83,Greater Swiss Mountain Dogs
84,Cotons de Tulear
85,Rat Terriers
86,Lhasa Apsos
87,American Staffordshire Terriers
88,Dogo Argentinos
89,Irish Wolfhounds
90,Keeshonden
91,Basenjis
92,Chow Chows
93,English Setters
94,Standard Schnauzers
95,Border Terriers
96,Pekingese
97,Brussels Griffons
98,Bouviers des Flandres
99,Gordon Setters
100,Norwegian Elkhounds
101,Borzois
102,Wire Fox Terriers
103,Flat-Coated Retrievers
104,Belgian Tervuren
105,Japanese Chin
106,Tibetan Terriers
107,Pointers
108,Toy Fox Terriers
109,Norwich Terriers
110,Miniature Bull Terriers
111,Beaucerons
112,Spinoni Italiani
113,Welsh Terriers
114,Leonbergers
115,Schipperke
116,Xoloitzcuintlis
117,Afghan Hounds
118,Boerboels
119,Neapolitan Mastiffs
120,American Hairless Terriers
121,Parson Russell Terriers
122,Silky Terriers
123,American Eskimo Dogs
124,Bearded Collies
125,Belgian Sheepdogs
126,Welsh Springer Spaniels
127,Tibetan Spaniels
128,Black Russian Terriers
129,Greyhounds
130,Manchester Terriers
131,Irish Terriers
132,Icelandic Sheepdogs
133,Bluetick Coonhounds
134,English Toy Spaniels
135,Salukis
136,Australian Terriers
137,Tibetan Mastiffs
138,Norfolk Terriers
139,Clumber Spaniels
140,Pumik
141,Smooth Fox Terriers
142,Wirehaired Vizslas
143,Lakeland Terriers
144,Russian Toys
145,German Pinschers
146,Kerry Blue Terriers
147,Barbets
148,Affenpinschers
149,Black and Tan Coonhounds
150,Mudis
151,Briards
152,Bedlington Terriers
153,Berger Picards
154,Petits Bassets Griffons Vendéens
155,Scottish Deerhounds
156,Curly-Coated Retrievers
157,Field Spaniels
158,Redbone Coonhounds
159,Treeing Walker Coonhounds
160,Swedish Vallhunds
161,Pulik
162,Entlebucher Mountain Dogs
163,Spanish Water Dogs
164,Sealyham Terriers
165,Löwchen
166,American Water Spaniels
167,Finnish Lapphunds
168,Irish Red and White Setters
169,Glen of Imaal Terriers
170,Nederlandse Kooikerhondjes
171,Portuguese Podengo Pequenos
172,Ibizan Hounds
173,Plott Hounds
174,Pharaoh Hounds
175,Komondorok
176,Otterhounds
177,Kuvaszok
178,Norwegian Buhunds
179,Bergamasco Sheepdogs
180,Chinooks
181,Polish Lowland Sheepdogs
182,American English Coonhounds
183,Irish Water Spaniels
184,Cirnechi dell’Etna
185,Grand Basset Griffon Vendéens
186,Dandie Dinmont Terriers
187,Canaan Dogs
188,Finnish Spitz
189,Skye Terriers
190,Pyrenean Shepherds
191,Cesky Terriers
192,Sussex Spaniels
193,Harriers
194,Azawakhs
195,Belgian Laekenois
196,American Foxhounds
197,Sloughis
198,Norwegian Lundehunds
199,English Foxhounds
