Rank,Breed
1,Retrievers (Labrador)
2,German Shepherd Dogs
3,Retrievers (Golden)
4,Bulldogs
5,Beagles
6,French Bulldogs
7,Yorkshire Terriers
8,Poodles
9,Rottweilers
10,Boxers
11,Pointers (German Shorthaired)
12,Siberian Huskies
13,Dachshunds
14,Doberman Pinschers
15,Great Danes
16,Miniature Schnauzers
17,Australian Shepherds
18,Cavalier King Charles Spaniels
19,Shih Tzu
20,Pembroke Welsh Corgis
21,Pomeranians
22,Boston Terriers
23,Shetland Sheepdogs
24,Havanese
25,Mastiffs
26,Brittanys
27,Spaniels (English Springer)
28,Chihuahuas
29,Bernese Mountain Dogs
30,Spaniels (Cocker)
31,Maltese
32,Vizslas
33,Pugs
34,Weimaraners
35,Cane Corso
36,Collies
37,Newfoundlands
38,Border Collies
39,Basset Hounds
40,Rhodesian Ridgebacks
41,West Highland White Terriers
42,Retrievers (Chesapeake Bay)
43,Bullmastiffs
44,Bichons Frises
45,Shiba Inu
46,Akitas
47,Soft Coated Wheaten Terriers
48,Papillons
49,Bloodhounds
50,St. Bernards
51,Belgian Malinois
52,Portuguese Water Dogs
53,Airedale Terriers
54,Alaskan Malamutes
55,Bull Terriers
56,Australian Cattle Dogs
57,Whippets
58,Scottish Terriers
59,Chinese Shar-Pei
60,Spaniels (English Cocker)
61,Samoyeds
62,Dalmatians
63,Dogues de Bordeaux
64,Miniature Pinschers
65,Lhasa Apsos
66,Wirehaired Pointing Griffons
67,Great Pyrenees
68,Pointers (German Wirehaired)
69,Irish Wolfhounds
70,Cairn Terriers
71,Italian Greyhounds
72,Setters (Irish)
73,Chow Chows
74,Old English Sheepdogs
75,Chinese Crested
76,Cardigan Welsh Corgis
77,American Staffordshire Terriers
78,Greater Swiss Mountain Dogs
79,Staffordshire Bull Terriers
80,Pekingese
81,Giant Schnauzers
82,Border Terriers
83,Bouviers des Flandres
84,Keeshonden
85,Coton de Tulear
86,Retrievers (Flat-Coated)
87,Basenjis
88,Norwegian Elkhounds
89,Borzois
90,Tibetan Terriers
91,Standard Schnauzers
92,Anatolian Shepherd Dogs
93,Leonbergers
94,Fox Terriers (Wire)
95,Brussels Griffons
96,Setters (English)
97,Japanese Chin
98,Belgian Tervuren
99,Retrievers (Nova Scotia Duck Tolling)
100,Afghan Hounds
101,Rat Terriers
102,Silky Terriers
103,Norwich Terriers
104,Russell Terriers
105,Setters (Gordon)
106,Neapolitan Mastiffs
107,Spaniels (Boykin)
108,Welsh Terriers
109,Schipperkes
110,Toy Fox Terriers
111,Parson Russell Terriers
112,Spinoni Italiani
113,Irish Terriers
114,Pointers
115,Tibetan Spaniels
116,Black Russian Terriers
117,Treeing Walker Coonhounds
118,American Eskimo Dogs
119,Bearded Collies
120,Belgian Sheepdogs
121,Miniature Bull Terriers
122,Fox Terriers (Smooth)
123,Bluetick Coonhounds
124,Kerry Blue Terriers
125,Australian Terriers
126,Boerboels
127,Black and Tan Coonhounds
128,Spaniels (Welsh Springer)
129,English Toy Spaniels
130,Briards
131,Norfolk Terriers
132,Salukis
133,Tibetan Mastiffs
134,Spaniels (Clumber)
135,Xoloitzcuintli
136,Affenpinschers
137,Manchester Terriers
138,German Pinschers
139,Redbone Coonhounds
140,Icelandic Sheepdogs
141,Lakeland Terriers
142,Beaucerons
143,Petits Bassets Griffons Vendeens
144,Spaniels (Irish Water)
145,Spaniels (Field)
146,Bedlington Terriers
147,Greyhounds
148,Setters (Irish Red and White)
149,Plotts
150,Kuvaszok
151,Retrievers (Curly-Coated)
152,Scottish Deerhounds
153,Portuguese Podengo Pequenos
154,Pulik
155,Swedish Vallhunds
156,Wirehaired Vizslas
157,Spaniels (American Water)
158,Sealyham Terriers
159,Entlebucher Mountain Dogs
160,Ibizan Hounds
161,Lowchen
162,Cirnechi dell’Etna
163,Komondorok
164,Polish Lowland Sheepdogs
165,Norwegian Buhunds
166,American English Coonhounds
167,Spanish Water Dogs
168,Glen of Imaal Terriers
169,Finnish Lapphunds
170,Canaan Dogs
171,Pharaoh Hounds
172,Dandie Dinmont Terriers
173,Spaniels (Sussex)
174,Bergamasco
175,Skye Terriers
176,Pyrenean Shepherds
177,Chinooks
178,Finnish Spitz
179,Cesky Terriers
180,Otterhounds
181,American Foxhounds
182,Norwegian Lundehunds
183,Harriers
184,English Foxhounds
