Rank,Breed
1,Retrievers (Labrador)
2,German Shepherd Dogs
3,Retrievers (Golden)
4,Bulldogs
5,Beagles
6,French Bulldogs
7,Poodles
8,Rottweilers
9,Yorkshire Terriers
10,Boxers
11,Pointers (German Shorthaired)
12,Siberian Huskies
13,Dachshunds
14,Great Danes
15,Doberman Pinschers
16,Australian Shepherds
17,Miniature Schnauzers
18,Pembroke Welsh Corgis
19,Cavalier King Charles Spaniels
20,Shih Tzu
21,Boston Terriers
22,Pomeranians
23,Havanese
24,Shetland Sheepdogs
25,Brittanys
26,Spaniels (English Springer)
27,Bernese Mountain Dogs
28,Mastiffs
29,Spaniels (Cocker)
30,Chihuahuas
31,Vizslas
32,Pugs
33,Maltese
34,Weimaraners
35,Newfoundlands
36,Miniature American Shepherds
37,Collies
38,Border Collies
39,Basset Hounds
40,Cane Corso
41,West Highland White Terriers
42,Rhodesian Ridgebacks
43,Retrievers (Chesapeake Bay)
44,Shiba Inu
45,Bichons Frises
46,Akitas
47,Belgian Malinois
48,Bullmastiffs
49,St. Bernards
50,Soft Coated Wheaten Terriers
51,Portuguese Water Dogs
52,Bloodhounds
53,Papillons
54,Australian Cattle Dogs
55,Airedale Terriers
56,Spaniels (English Cocker)
57,Bull Terriers
58,Scottish Terriers
59,Alaskan Malamutes
60,Whippets
61,Chinese Shar-Pei
62,Dalmatians
63,Dogues de Bordeaux
64,Pointers (German Wirehaired)
65,Samoyeds
66,Wirehaired Pointing Griffons
67,Great Pyrenees
68,Miniature Pinschers
69,Cardigan Welsh Corgis
70,Cairn Terriers
71,Lhasa Apsos
72,Italian Greyhounds
73,Irish Wolfhounds
74,Chow Chows
75,Old English Sheepdogs
76,Setters (Irish)
77,Chinese Crested
78,Greater Swiss Mountain Dogs
79,Giant Schnauzers
80,Coton de Tulear
81,American Staffordshire Terriers
82,Staffordshire Bull Terriers
83,Bouviers des Flandres
84,Anatolian Shepherd Dogs
85,Standard Schnauzers
86,Border Terriers
87,Retrievers (Nova Scotia Duck Tolling)
88,Basenjis
89,Retrievers (Flat-Coated)
90,Russell Terriers
91,Tibetan Terriers
92,Keeshonden
93,Pekingese
94,Norwegian Elkhounds
95,Leonbergers
96,Rat Terriers
97,Brussels Griffons
98,Borzois
99,Neapolitan Mastiffs
100,Silky Terriers
101,Fox Terriers (Wire)
102,Setters (English)
103,Norwich Terriers
104,Setters (Gordon)
105,Spinoni Italiani
106,American Hairless Terriers
107,Belgian Tervuren
108,Japanese Chin
109,Parson Russell Terriers
110,Spaniels (Boykin)
111,Welsh Terriers
112,Schipperkes
113,Afghan Hounds
114,Lagotti Romagnoli
115,Irish Terriers
116,Toy Fox Terriers
117,Pointers
118,Tibetan Spaniels
119,Black Russian Terriers
120,Miniature Bull Terriers
121,Bluetick Coonhounds
122,American Eskimo Dogs
123,Spaniels (Welsh Springer)
124,Fox Terriers (Smooth)
125,Salukis
126,Bearded Collies
127,Kerry Blue Terriers
128,Black and Tan Coonhounds
129,Belgian Sheepdogs
130,English Toy Spaniels
131,Boerboels
132,Briards
133,Manchester Terriers
134,Norfolk Terriers
135,Tibetan Mastiffs
136,Australian Terriers
137,Treeing Walker Coonhounds
138,Bedlington Terriers
139,Xoloitzcuintli
140,Beaucerons
141,Berger Picards
142,Setters (Irish Red and White)
143,Redbone Coonhounds
144,Spaniels (Clumber)
145,Lakeland Terriers
146,German Pinschers
147,Spaniels (Field)
148,Petits Bassets Griffons Vendeens
149,Affenpinschers
150,Spaniels (Irish Water)
151,Greyhounds
152,Ibizan Hounds
153,Icelandic Sheepdogs
154,Scottish Deerhounds
155,Sealyham Terriers
156,Spaniels (American Water)
157,Wirehaired Vizslas
158,Plotts
159,Pulik
160,Portuguese Podengo Pequenos
161,Entlebucher Mountain Dogs
162,Spanish Water Dogs
163,Swedish Vallhunds
164,Retrievers (Curly-Coated)
165,Kuvaszok
166,Otterhounds
167,Dandie Dinmont Terriers
168,Pharaoh Hounds
169,Polish Lowland Sheepdogs
170,American English Coonhounds
171,Lowchen
172,Spaniels (Sussex)
173,Finnish Lapphunds
174,Norwegian Buhunds
175,Chinooks
176,Pyrenean Shepherds
177,Komondorok
178,Skye Terriers
179,Finnish Spitz
180,Glen of Imaal Terriers
181,Canaan Dogs
182,Cesky Terriers
183,Cirnechi dell’Etna
184,Bergamasco
185,Sloughis
186,Harriers
187,English Foxhounds
188,Norwegian Lundehunds
189,American Foxhounds
